objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z,snMedian,low_z
1237662237474357431,203.297853961121,9.42633029336027,3.932685,0.1187666,GALAXY,18.4833,17.41261,16.87405,16.5301,16.34414,0.02436818,0.005202444,0.004703826,0.004587852,0.01151545,19.67151,False
1237662237474357471,203.362407723149,9.46663928221667,5.730018,0.118551,GALAXY,19.08553,17.97877,17.46639,17.11104,16.93265,0.04406457,0.008054859,0.007492751,0.00722103,0.02135288,11.30824,False
1237665025448739045,203.766045269931,33.7939783348782,6.214421,0.02411645,GALAXY,18.22878,16.49799,15.76439,15.39907,15.15321,0.02488984,0.003801841,0.003219049,0.003191313,0.006973425,24.10537,True
1237662237480976407,218.615930170617,8.16600567772001,3.234743,0.09952705,GALAXY,18.81218,17.70731,17.15929,16.76631,16.59716,0.02919134,0.00584044,0.005127407,0.004869465,0.01202576,20.66541,True
1237662237480976591,218.670565309647,8.2541800085291,3.375842,0.1150596,GALAXY,20.11016,18.31945,17.35226,16.92672,16.58266,0.08964425,0.009406216,0.006386082,0.005882378,0.0133915,14.94038,False
1237662237481042071,218.697011058723,8.25266047057158,7.647343,0.08656947,GALAXY,18.4388,16.7225,15.79612,15.35266,15.0228,0.03353409,0.004530827,0.003415876,0.003204061,0.006226819,27.68665,True
1237657630047207764,127.706421061835,35.7326245006326,4.382627,0.05427003,GALAXY,18.92344,17.70072,17.32823,17.14627,16.99356,0.03334221,0.006517345,0.006168667,0.007309068,0.01781649,14.80495,True
1237662237481042095,218.703570186606,8.16577067816217,22.29807,0.03295304,GALAXY,16.29769,14.83868,14.16321,13.78911,13.56157,0.01668867,0.002792157,0.002455476,0.002376813,0.004848666,20.00266,True
1237662237481042143,218.729401474859,8.30441257407481,4.278335,0.09928148,GALAXY,19.28384,17.36622,16.38678,15.9672,15.63414,0.04910858,0.005571666,0.004043165,0.003838395,0.007545367,25.12702,True
1237662237481042193,218.757904032034,8.14804748213378,6.71609,0.09898101,GALAXY,19.35953,17.44978,16.51454,16.08525,15.78337,0.08632471,0.007862279,0.005459991,0.005005035,0.01206175,14.78165,True
1237657401341837503,129.686864213092,39.0581791817594,4.128015,0.164356,GALAXY,20.06158,18.4694,17.59427,17.13574,16.85862,0.08625574,0.01091913,0.008033177,0.0073041,0.01914514,12.53172,False
1237657401878642857,129.245885804476,39.2783496538437,3.275042,0.1512623,GALAXY,20.76767,18.70988,17.56794,17.08875,16.73193,0.1352279,0.01088855,0.006866727,0.006235349,0.01538439,14.82304,False
1237657401878708384,129.46981525333,39.2894819419397,6.768021,0.1693089,GALAXY,20.22887,18.20406,16.95029,16.43955,16.06296,0.120545,0.009804687,0.005782983,0.005152063,0.01235304,17.56357,False
1237657401878708416,129.502221510733,39.3274615763505,4.396078,0.09330911,GALAXY,19.3179,18.11268,17.53924,17.14958,16.918,0.04878236,0.008154587,0.007446509,0.007164952,0.02077316,11.90728,True
1237657401878773892,129.54895110554,39.4842088316542,3.478774,0.08336932,GALAXY,19.8343,18.02446,17.09493,16.69233,16.35282,0.0672484,0.007361849,0.005473873,0.005209252,0.01220863,18.82743,True
1237657401878773909,129.549016483285,39.5122220543157,4.590014,0.1521694,GALAXY,19.30882,18.1665,17.55685,17.19615,17.03173,0.04955972,0.008419726,0.007665062,0.007566479,0.02367065,11.725,False
1237657401878839525,129.636299161445,39.5810937944034,4.066897,0.1888075,GALAXY,21.13922,19.01102,17.75123,17.26518,16.93051,0.2209897,0.01531005,0.008649067,0.007892223,0.02009722,10.86011,False
1237654601568485561,161.587838106861,4.78920895241061,3.772147,0.09988604,GALAXY,20.36478,18.45638,17.44809,17.0016,16.66864,0.1006447,0.0102546,0.006601901,0.00617571,0.01581743,13.08032,True
1237657606425870601,128.607165073096,39.4778692541443,3.049051,0.1137688,GALAXY,19.18558,18.1257,17.67215,17.33251,17.19658,0.03236706,0.007400233,0.006620705,0.006543432,0.01663651,12.99464,False
1237657606425870614,128.653435607047,39.4604227939528,3.69386,0.174495,GALAXY,21.4268,18.79828,17.57326,17.10209,16.76507,0.2336892,0.01308391,0.00696972,0.006359236,0.01353072,11.85848,False
1237657606426001462,128.910996748415,39.5570439032481,5.175206,0.09878875,GALAXY,18.08169,17.03203,16.58392,16.24168,16.07495,0.0162511,0.004429536,0.004035564,0.00397698,0.00826013,22.43843,True
1237657606426329281,129.635156897631,40.0668910357006,7.089965,0.05651452,GALAXY,19.26162,17.46151,16.43615,15.87253,15.43432,0.04902798,0.006452228,0.004233141,0.003816836,0.006812593,15.61857,True
1237657606426329374,129.564150953376,40.1736754845324,4.19302,0.1730383,GALAXY,20.81558,18.74867,17.54458,17.0478,16.67578,0.1413258,0.01316843,0.007049015,0.00633307,0.01305262,11.3321,False
1237657606426394701,129.762855333821,40.2626750091898,7.20332,0.1941434,GALAXY,19.36924,17.86993,16.85375,16.35297,15.99836,0.04868268,0.00779874,0.004966805,0.004518948,0.008919416,18.10173,False
1237657606426394830,129.726269401617,40.1860110676277,6.543183,0.1909425,GALAXY,20.43749,18.50918,17.2539,16.75683,16.39194,0.1170089,0.01227979,0.006372233,0.005744134,0.01194896,13.81896,False
1237657606426394889,129.72923832057,40.2952713359804,4.157276,0.09768202,GALAXY,19.02049,17.67299,16.96653,16.57145,16.31376,0.03281735,0.006439599,0.004961405,0.004772418,0.01007259,19.39174,True
1237657606426394988,129.800107586467,40.1831964045658,4.641837,0.1957822,GALAXY,20.86275,18.72821,17.43834,16.93266,16.56317,0.1593371,0.01370933,0.006880352,0.00617516,0.01296239,12.35031,False
1237657627916566647,177.647699427032,51.1430842178454,6.514476,0.1281698,GALAXY,19.3698,17.5475,16.53136,16.10187,15.76666,0.05082149,0.006550952,0.004399372,0.004367956,0.009117828,17.80813,False
1237657627916632157,177.729323821404,51.1853775334623,4.888217,0.0782869,GALAXY,19.1153,17.43913,16.6529,16.2447,15.94304,0.04365576,0.006378659,0.004887316,0.004882005,0.01091591,15.04866,True
1237657627916632165,177.766556374105,51.1750009463527,3.419881,0.1295908,GALAXY,20.40279,18.61327,17.6314,17.21134,16.86253,0.08208738,0.01010263,0.006677516,0.006627769,0.01455527,12.49199,False
1237657627917484197,180.927932176539,51.2405609322527,3.515293,0.1267701,GALAXY,20.53416,18.40246,17.35154,16.92255,16.56071,0.09381002,0.008917832,0.005741611,0.005638433,0.01182672,15.8172,False
1237657627917549758,181.059306069494,51.2609448078237,5.090759,0.1712179,GALAXY,20.16601,18.24516,17.05683,16.58887,16.25746,0.08777267,0.009368629,0.005488062,0.005331071,0.01160521,14.77461,False
1237657627917549790,181.157380483097,51.2136200658396,3.523499,0.1094447,GALAXY,19.48087,18.25469,17.61477,17.23207,16.9798,0.04280265,0.008272246,0.006846352,0.007022834,0.01692615,12.84105,False
1237657627917549821,181.263226311035,51.2930093422752,3.681838,0.124033,GALAXY,20.36708,18.4908,17.55973,17.17919,16.8347,0.08733562,0.009743482,0.00667637,0.006787691,0.01518978,12.95061,False
