objid,ra,dec,petroRad_r,z,class,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,snMedian,low_z
1237654028715819109,166.611804052866,1.38709630646596,5.123327,0.08343369,GALAXY,18.71327,17.40816,16.73206,16.33636,16.09591,15.84352,True
1237654028715884622,166.772598165072,1.34025173634637,4.092097,0.06693334,GALAXY,18.41837,17.30482,16.76933,16.38581,16.21349,18.83833,True
1237654028715884666,166.871962730641,1.38844722661139,4.137302,0.09685946,GALAXY,18.86296,17.73988,17.27457,16.95683,16.82344,12.99628,True
1237654028715950202,166.902225124644,1.49091393568579,4.728046,0.06771784,GALAXY,18.33056,17.25081,16.96187,16.68561,16.57083,17.68886,True
1237654028715950242,166.960431122362,1.36636180181861,3.407684,0.1435162,GALAXY,20.50467,18.45259,17.35209,16.90083,16.54778,14.0904,False
1237654029252755672,166.854525864128,1.77558248555222,7.976547,0.1338849,GALAXY,19.48642,17.75039,16.76156,16.31086,15.9581,13.32871,False
1237654029252821001,166.900218868818,1.94463875584055,8.908541,0.08839578,GALAXY,19.97557,18.03376,17.13613,16.65318,16.32486,15.24737,True
1237654029252821110,166.914877435331,1.78307994967333,6.160811,0.06621521,GALAXY,18.59299,16.67873,15.75032,15.30637,14.92713,25.34154,True
1237654029252821146,166.984303991889,1.77174288310687,3.466903,0.1034483,GALAXY,20.0425,18.29765,17.32355,16.89209,16.52536,14.36531,False
1237654029252886667,167.050805548818,1.95094486639525,4.61869,0.09949763,GALAXY,20.16152,18.0794,17.04264,16.59036,16.20146,16.02909,True
1237654029252886677,167.064756919393,1.92699873170491,4.929769,0.1000658,GALAXY,19.26803,17.38467,16.36938,15.8951,15.52279,19.01992,False
1237654029252886708,167.08993942512,1.94231063036658,8.416768,0.09857417,GALAXY,18.8517,16.85366,15.84237,15.40341,15.03752,22.61694,True
1237654029789626528,166.821079664435,2.22126654284802,6.408988,0.06214903,GALAXY,18.66647,17.30706,16.79546,16.45354,16.26258,12.69823,True
1237654029789757623,167.094731760621,2.19242414066078,4.853193,0.0862603,GALAXY,19.72223,17.86439,16.89566,16.43948,16.0568,13.86249,True
